ad,odev1,odev2,arasinav,final,durum
ogrenci1,100,0,NaN,NaN,W
ogrenci2,80,92,64,78,
ogrenci3,95,100,71,88,
ogrenci4,100,100,54,40,
ogrenci5,97,0,NaN,NaN,W
ogrenci6,100,100,55,66,
ogrenci7,100,100,91,87,
ogrenci8,97,100,86,78,
ogrenci9,75,0,68,NaN,W
ogrenci10,95,0,85,NaN,W
ogrenci11,100,100,75,76,
ogrenci12,90,100,75,92,
ogrenci13,95,100,72,77,
ogrenci14,95,100,50,44,
ogrenci15,100,100,91,98,
ogrenci16,90,100,75,86,
ogrenci17,95,100,63,67,
ogrenci18,100,100,88,96,
ogrenci19,70,98,59,76,
ogrenci20,100,100,81,94,
ogrenci21,95,97,75,83,
ogrenci22,100,100,85,100,
ogrenci23,90,100,79,70,
ogrenci24,90,0,NaN,NaN,W
ogrenci25,0,75,50,74,
ogrenci26,100,100,68,75,
ogrenci27,92,97,63,59,
ogrenci28,100,100,81,76,
ogrenci29,100,97,52,69,
ogrenci30,92,0,86,NaN,W
ogrenci31,87,100,59,82,
ogrenci32,100,100,92,89,
ogrenci33,100,100,92,100,
ogrenci34,95,100,53,69,
ogrenci35,100,100,94,83,
ogrenci36,95,0,76,79,
ogrenci37,78,0,47,23,
